Rk,Team,GP,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
1,Washington Capitals,47,156,103,38,142,26.76,22,143,84.62,2,2,1444,10.8,1363,.924
2,Chicago Blackhawks,53,146,122,34,158,21.52,25,144,82.64,4,2,1619,9.0,1621,.925
3,Dallas Stars,50,160,131,33,155,21.29,29,144,79.86,7,7,1615,9.9,1448,.910
4,St. Louis Blues,52,126,125,28,143,19.58,25,169,85.21,1,3,1551,8.1,1549,.919
5,Florida Panthers,49,130,107,27,167,16.17,26,154,83.12,2,2,1358,9.6,1447,.926
6,Los Angeles Kings,49,127,111,29,142,20.42,31,175,82.29,3,2,1572,8.1,1374,.919
7,New York Rangers,49,140,127,24,137,17.52,31,151,79.47,1,4,1436,9.7,1469,.914
8,Tampa Bay Lightning,49,128,114,31,171,18.13,28,148,81.08,3,3,1420,9.0,1382,.918
9,Detroit Red Wings,49,121,121,27,153,17.65,30,157,80.89,0,3,1404,8.6,1481,.918
10,Colorado Avalanche,52,142,142,35,176,19.89,34,168,79.76,6,6,1469,9.7,1628,.913
11,Boston Bruins,49,144,130,35,135,25.93,26,167,84.43,6,1,1541,9.3,1453,.911
12,San Jose Sharks,48,140,128,36,160,22.50,30,145,79.31,4,3,1450,9.7,1338,.904
13,Nashville Predators,50,127,130,33,162,20.37,32,153,79.08,4,1,1538,8.3,1333,.902
14,New York Islanders,47,127,115,24,137,17.52,18,141,87.23,4,5,1422,8.9,1421,.919
15,Minnesota Wild,49,121,113,24,140,17.14,23,115,80.00,5,3,1402,8.6,1410,.920
16,Pittsburgh Penguins,48,120,117,32,161,19.88,26,160,83.75,4,2,1552,7.7,1484,.921
17,New Jersey Devils,50,112,114,29,157,18.47,30,157,80.89,4,7,1209,9.3,1424,.920
18,Carolina Hurricanes,51,123,134,26,156,16.67,22,126,82.54,1,3,1536,8.0,1353,.901
19,Arizona Coyotes,49,130,145,32,180,17.78,39,167,76.65,1,9,1344,9.7,1484,.902
20,Ottawa Senators,50,135,151,27,150,18.00,40,162,75.31,10,2,1418,9.5,1654,.909
21,Montreal Canadiens,50,133,133,30,172,17.44,25,159,84.28,8,5,1589,8.4,1372,.903
22,Anaheim Ducks,47,99,109,24,127,18.90,17,164,89.63,2,3,1437,6.9,1286,.915
23,Vancouver Canucks,50,118,137,26,155,16.77,31,159,80.50,3,5,1435,8.2,1574,.913
24,Philadelphia Flyers,47,107,123,26,149,17.45,35,159,77.99,3,3,1431,7.5,1519,.919
25,Winnipeg Jets,49,126,138,24,151,15.89,41,180,77.22,8,3,1439,8.8,1464,.906
26,Calgary Flames,48,125,144,21,155,13.55,28,115,75.65,1,4,1399,8.9,1384,.896
27,Buffalo Sabres,50,113,133,32,153,20.92,24,124,80.65,2,2,1463,7.7,1528,.913
28,Columbus Blue Jackets,51,131,161,28,156,17.95,35,184,80.98,2,1,1455,9.0,1569,.897
29,Toronto Maple Leafs,48,110,129,23,148,15.54,31,157,80.25,1,5,1479,7.4,1501,.914
30,Edmonton Oilers,50,118,148,24,145,16.55,28,146,80.82,2,3,1440,8.2,1554,.905
