Rk,Team,GP,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
1,St. Louis Blues*,82,248,165,61,342,17.84,42,345,87.83,13,3,2445,10.1,1814,.909
2,Detroit Red Wings*,82,278,210,69,338,20.41,44,311,85.85,15,6,2620,10.6,2169,.903
3,Philadelphia Flyers*,82,237,179,69,340,20.29,42,316,86.71,7,7,2495,9.5,1938,.908
4,New Jersey Devils*,82,251,203,55,274,20.07,39,313,87.54,9,9,2716,9.2,2100,.903
5,Washington Capitals*,82,227,194,43,287,14.98,47,341,86.22,9,3,2269,10.0,2270,.915
6,Dallas Stars*,82,211,184,54,343,15.74,33,307,89.25,9,9,2099,10.1,2183,.916
7,Toronto Maple Leafs*,82,246,222,57,321,17.76,58,330,82.42,11,5,2160,11.4,2386,.907
8,Florida Panthers*,82,244,209,58,338,17.16,47,323,85.45,2,8,2198,11.1,2431,.914
9,Colorado Avalanche*,82,233,201,59,302,19.54,52,335,84.48,3,7,2187,10.7,2282,.912
10,Ottawa Senators*,82,244,210,52,310,16.77,34,273,87.55,6,8,2584,9.4,2064,.898
11,Los Angeles Kings*,82,245,228,60,356,16.85,66,373,82.31,4,12,2421,10.1,2290,.900
12,Phoenix Coyotes*,82,232,228,37,310,11.94,43,306,85.95,14,7,2212,10.5,2334,.902
13,Edmonton Oilers*,82,226,212,53,336,15.77,54,369,85.37,9,4,2310,9.8,2318,.909
14,Pittsburgh Penguins*,82,241,236,54,346,15.61,56,321,82.55,7,11,2137,11.3,2356,.900
15,San Jose Sharks*,82,225,214,62,377,16.45,61,372,83.60,16,4,2248,10.0,2357,.909
16,Buffalo Sabres*,82,213,204,37,351,10.54,54,361,85.04,8,10,2228,9.6,2207,.908
17,Carolina Hurricanes,82,217,216,58,342,16.96,40,253,84.19,3,7,2161,10.0,2141,.899
18,Vancouver Canucks,82,227,237,51,323,15.79,63,322,80.43,9,7,2187,10.4,2292,.897
19,Mighty Ducks of Anaheim,82,217,227,55,332,16.57,62,296,79.05,4,8,2352,9.2,2259,.900
20,Montreal Canadiens,82,196,194,54,323,16.72,40,302,86.75,7,8,2135,9.2,2264,.914
21,Chicago Blackhawks,82,242,245,52,325,16.00,58,355,83.66,10,13,2106,11.5,2397,.898
22,Calgary Flames,82,211,256,59,330,17.88,74,365,79.73,4,8,2468,8.5,2381,.892
23,Boston Bruins,82,210,248,51,355,14.37,55,268,79.48,0,4,2516,8.3,2273,.891
24,New York Rangers,82,218,246,55,325,16.92,49,292,83.22,5,9,2416,9.0,2446,.899
25,Nashville Predators,82,199,240,41,304,13.49,46,309,85.11,9,11,2215,9.0,2499,.904
26,New York Islanders,82,194,275,45,320,14.06,84,420,80.00,8,8,2146,9.0,2742,.900
27,Tampa Bay Lightning,82,204,310,51,365,13.97,77,399,80.70,9,7,2084,9.8,2494,.876
28,Atlanta Thrashers,82,170,313,44,348,12.64,76,386,80.31,6,13,2115,8.0,2543,.877
